,Date,Code,Value,Source
0,31/01,HPG,173,NN
1,31/01,SSI,56,NN
2,31/01,HCM,25,NN
3,31/01,PNJ,23,NN
4,31/01,HDB,23,NN
5,31/01,VIC,19,NN
6,31/01,STB,13,NN
7,31/01,FRT,9,NN
8,31/01,VRE,6,NN
9,01/02,HPG,203,NN
10,01/02,HCM,49,NN
11,01/02,HDB,44,NN
12,01/02,STB,39,NN
13,01/02,BID,39,NN
14,01/02,PVD,25,NN
15,01/02,BVH,18,NN
16,01/02,VCB,13,NN
17,01/02,HSG,13,NN
18,02/02,HPG,136,NN
19,02/02,STB,100,NN
20,02/02,FUEV,38,NN
21,02/02,VIC,35,NN
22,02/02,SSI,28,NN
23,02/02,HCM,21,NN
24,02/02,VND,21,NN
25,02/02,DPM,18,NN
26,02/02,HDB,16,NN
27,03/02,STB,171,NN
28,03/02,HPG,107,NN
29,03/02,NVL,49,NN
30,03/02,VCB,31,NN
31,03/02,KBC,28,NN
32,03/02,CTG,26,NN
33,03/02,VIC,24,NN
34,03/02,SSI,21,NN
35,03/02,HDB,18,NN
36,06/02,STB,127,NN
37,06/02,SSI,42,NN
38,06/02,VCB,31,NN
39,06/02,VND,30,NN
40,06/02,KBC,29,NN
41,06/02,VIC,27,NN
42,06/02,VNM,24,NN
43,06/02,CTG,22,NN
44,06/02,HCM,17,NN
45,07/02,STB,176,NN
46,07/02,CTG,35,NN
47,07/02,E1VF,35,NN
48,07/02,VNM,24,NN
49,07/02,PLX,22,NN
50,07/02,GAS,17,NN
51,07/02,VRE,12,NN
52,07/02,BID,12,NN
53,07/02,HCM,12,NN
54,08/02,STB,204,NN
55,08/02,HPG,159,NN
56,08/02,DPM,52,NN
57,08/02,SSI,25,NN
58,08/02,HCM,24,NN
59,08/02,GAS,19,NN
60,08/02,CTG,16,NN
61,08/02,VND,13,NN
62,08/02,BVH,12,NN
63,09/02,STB,289,NN
64,09/02,HPG,32,NN
65,09/02,HCM,26,NN
66,09/02,SSI,18,NN
67,09/02,HSG,8,NN
68,09/02,MSB,6,NN
69,09/02,BMI,5,NN
70,09/02,PVD,5,NN
71,09/02,NVL,5,NN
72,10/02,HPG,43,NN
73,10/02,GEX,28,NN
74,10/02,VCB,26,NN
75,10/02,POW,19,NN
76,10/02,MSN,13,NN
77,10/02,BVH,13,NN
78,10/02,CTG,13,NN
79,10/02,HDB,12,NN
80,10/02,HSG,9,NN
0,31/01,VNM,-157,NN
1,31/01,ST8,-80,NN
2,31/01,DGC,-63,NN
3,31/01,VHM,-36,NN
4,31/01,KDH,-29,NN
5,31/01,VCB,-20,NN
6,31/01,FUEV,-19,NN
7,31/01,DPM,-18,NN
8,31/01,KBC,-18,NN
9,01/02,VHM,-103,NN
10,01/02,DGC,-42,NN
11,01/02,VNM,-39,NN
12,01/02,MSN,-34,NN
13,01/02,CTG,-32,NN
14,01/02,KDH,-31,NN
15,01/02,DPM,-29,NN
16,01/02,PVT,-21,NN
17,01/02,KBC,-19,NN
18,02/02,KBC,-47,NN
19,02/02,VHM,-30,NN
20,02/02,VNM,-10,NN
21,02/02,MSN,-9,NN
22,02/02,KDH,-9,NN
23,02/02,PVT,-9,NN
24,02/02,NVL,-8,NN
25,02/02,KDC,-6,NN
26,02/02,HAH,-6,NN
27,03/02,KDC,-11,NN
28,03/02,HHV,-10,NN
29,03/02,MSN,-9,NN
30,03/02,GMD,-8,NN
31,03/02,VNM,-8,NN
32,03/02,BMP,-8,NN
33,03/02,DCM,-7,NN
34,03/02,BCG,-6,NN
35,03/02,DIG,-4,NN
36,06/02,DPM,-48,NN
37,06/02,DXG,-17,NN
38,06/02,BID,-17,NN
39,06/02,PVT,-14,NN
40,06/02,KDH,-11,NN
41,06/02,DGC,-6,NN
42,06/02,HAH,-6,NN
43,06/02,BMP,-6,NN
44,06/02,DGW,-4,NN
45,07/02,HPG,-55,NN
46,07/02,VCB,-48,NN
47,07/02,VND,-32,NN
48,07/02,VHM,-32,NN
49,07/02,HSG,-31,NN
50,07/02,SHB,-27,NN
51,07/02,DGC,-26,NN
52,07/02,NKG,-24,NN
53,07/02,SSI,-20,NN
54,08/02,VHM,-117,NN
55,08/02,VNM,-25,NN
56,08/02,VIC,-18,NN
57,08/02,VHC,-17,NN
58,08/02,NVL,-15,NN
59,08/02,KDH,-14,NN
60,08/02,SHB,-14,NN
61,08/02,DXG,-11,NN
62,08/02,KDC,-8,NN
63,09/02,BCM,-86,NN
64,09/02,VHM,-61,NN
65,09/02,VNM,-56,NN
66,09/02,VIC,-38,NN
67,09/02,MSN,-24,NN
68,09/02,DGC,-20,NN
69,09/02,KDH,-14,NN
70,09/02,VCB,-13,NN
71,09/02,KBC,-13,NN
72,10/02,KDH,-40,NN
73,10/02,KBC,-37,NN
74,10/02,STB,-25,NN
75,10/02,DXG,-18,NN
76,10/02,VNM,-17,NN
77,10/02,VIC,-15,NN
78,10/02,SSI,-9,NN
79,10/02,DCM,-8,NN
80,10/02,DGC,-6,NN
0,31/01,FUEV,40,TD
1,31/01,GMD,9,TD
2,31/01,FUES,6,TD
3,31/01,HDB,2,TD
4,31/01,MSN,2,TD
5,31/01,VIB,2,TD
6,31/01,VCB,2,TD
